Player Name,Age,Positions,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Mikey Anderson,26,D,LA,"$4,125,000",19.33,0.09,2.85,77,77,19.33,0.09,2.85,22.27,5,16,21,0,0,0,0,1,1,113,128,25,0,0,91,17,-274,351,-29,205,8479998,,,
Kevin Bahl,25,D,CGY,"$5,350,000",18.39,0.12,2.17,77,77,18.39,0.12,2.17,20.69,4,17,21,0,1,1,0,0,0,113,113,45,0,0,81,-1,-194,300,52,170,8480860,,,
Jacob Trouba,31,D,ANA,"$8,000,000",17.94,0.18,2.47,74,74,17.94,0.18,2.47,20.60,4,17,21,0,1,1,0,1,1,153,184,48,0,0,114,-7,144,127,390,234,8476885,,,
Kevin Labanc,30,RW,CBJ,$1,10.11,0.68,0.02,62,62,10.11,0.68,0.02,10.80,7,13,20,1,2,3,0,0,0,54,24,16,2,7,69,-2,-777,665,-473,129,8478099,,,
Thomas Bordeleau,24,C,SJ,"$775,000",12.71,0.50,0.00,56,56,12.71,0.50,0.00,13.21,9,11,20,1,1,2,0,0,0,25,38,21,86,79,81,-6,-790,673,-439,170,8482133,,,
Michael McCarron,30,C,NSH,"$900,000",11.03,0.14,1.99,76,76,11.03,0.14,1.99,13.16,9,11,20,0,0,0,1,0,1,154,60,68,372,307,88,-4,-211,309,140,309,8477446,,,
Marat Khusnutdinov,23,C,BOS,"$925,000",11.08,0.46,1.18,70,70,11.08,0.46,1.18,12.72,8,12,20,1,1,2,1,0,1,56,43,18,164,189,53,-6,-795,678,-444,196,8482177,,,
Cole Smith,30,LW,NSH,"$1,000,000",11.03,0.14,2.23,79,79,11.03,0.14,2.23,13.39,8,12,20,0,0,0,1,1,2,189,33,45,7,7,79,-5,-337,395,-38,158,8482062,,,
Sam Carrick,33,C,NYR,"$1,000,000",10.23,0.16,1.32,80,80,10.23,0.16,1.32,11.71,8,12,20,0,0,0,1,0,1,140,39,62,315,275,80,-4,-347,404,4,271,8475842,,,
Shakir Mukhamadullin,24,D,SJ,"$1,000,000",16.25,0.64,1.17,68,68,16.25,0.64,1.17,18.06,5,15,20,0,3,3,0,0,0,57,99,17,0,0,77,-4,-499,513,-254,161,8482166,,,
Dmitry Kulikov,35,D,FLA,"$1,150,000",16.80,0.10,2.09,79,79,16.80,0.10,2.09,18.99,4,16,20,0,1,1,0,1,1,120,93,39,0,0,74,8,-294,370,-48,164,8475179,,,
Nils Lundkvist,25,D,DAL,"$1,250,000",16.75,0.34,0.05,71,71,16.75,0.34,0.05,17.14,4,16,20,0,2,2,0,0,0,48,73,30,0,0,106,4,-462,483,-216,170,8480878,,,
